"Card Name","Card Description","Labels","List Name","Checklist Items"
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-16-comprehensive-test-coverage.md
**Effort:** 
**Priority:** ","Epic 4","Backlog","[ ] Overall test coverage increased from 23.42% to minimum 80%; [ ] Critical paths (payments, auth, search) achieve 95% coverage; [ ] All new code requires 90% coverage to pass CI; [ ] 100% test coverage for subscription service layer; [ ] 100% test coverage for payment processing (Stripe integration); [ ] 100% test coverage for repository layer (data persistence); [ ] 90% test coverage for authentication flows; [ ] 90% test coverage for admin operations; [ ] Complete parent subscription purchase flow tested; [ ] Provider onboarding workflow tested; [ ] Search to booking journey tested; [ ] Admin provider vetting process tested; [ ] All tests passing with <3s response time; [ ] SQL injection protection validated; [ ] XSS prevention tested; [ ] Authentication bypass attempts tested; [ ] Rate limiting validation implemented; [ ] OWASP Top 10 coverage achieved; [ ] Search API response < 200ms p95; [ ] Database queries < 100ms p95; [ ] Page load < 3s on 3G connection; [ ] Load tests handle 100 concurrent users"
"EPIC 4: Technical Excellence / Observability","## STORY 4.17: Achieve 80% Test Coverage Target

**File:** epic-4-story-17-achieve-80-percent-coverage.md
**Effort:** 
**Priority:** ","Epic 4","Backlog","[ ] Line coverage reaches 80% or higher; [ ] Branch coverage reaches 80% or higher  ; [ ] Function coverage reaches 80% or higher; [ ] Statement coverage reaches 80% or higher; [ ] All critical business logic has corresponding tests; [ ] No reduction in existing test quality; [ ] Jest configuration updated to enforce 80% thresholds"
"EPIC 4: Technical Excellence / Observability","## STORY 4.18: Implement Missing Service Methods

**File:** epic-4-story-18-implement-missing-services.md
**Effort:** 
**Priority:** ","Epic 4","Backlog","[ ] All service methods have implementations; [ ] Each service method has corresponding unit tests; [ ] Service methods follow repository pattern; [ ] Error handling implemented consistently; [ ] All service tests passing; [ ] Documentation updated for new methods"
"EPIC 4: Technical Excellence / Observability","## STORY 4.19: Implement PostGIS Spatial Queries

**File:** epic-4-story-19-postgis-spatial-queries.md
**Effort:** 
**Priority:** ","Epic 4","Backlog","[ ] PostGIS extension enabled in database; [ ] Provider table has geographic location columns; [ ] Spatial indexes created for performance; [ ] Repository methods support radius search; [ ] API endpoints accept lat/lng parameters; [ ] Results sorted by distance; [ ] Distance included in search results; [ ] Fallback to suburb/state search if no coordinates"
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-2-structured-logging.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"EPIC 4: Technical Excellence / Observability","## STORY 4.20: Optimize Test Performance for CI/CD Pipeline

**File:** epic-4-story-20-test-performance-optimization.md
**Effort:** 
**Priority:** ","Epic 4","Backlog","[ ] Test suite runs in under 2 minutes (currently ~4 minutes); [ ] Parallel test execution implemented; [ ] Database connection pooling optimized; [ ] Test data setup minimized; [ ] Unnecessary test reruns eliminated; [ ] CI cache strategy implemented; [ ] Performance metrics tracked"
"EPIC 4: Technical Excellence / Observability","## STORY 4.21: Extract Stripe Mocks to Dedicated Module

**File:** epic-4-story-21-stripe-mocks-extraction.md
**Effort:** 
**Priority:** ","Epic 4","Backlog","[ ] Stripe mocks extracted to dedicated module; [ ] All payment tests use centralized mocks; [ ] Mock data matches Stripe API structure; [ ] Common scenarios pre-configured; [ ] TypeScript types fully supported; [ ] Documentation includes usage examples; [ ] Existing tests migrated to new mocks"
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-3-opentelemetry-tracing.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-4-error-tracking.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-5-health-checks.md
**Effort:** 
**Priority:** ","Epic 4","Backlog","Database connectivity; Stripe API availability; Email service status"
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-6-audit-logging.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-7-rate-limiting.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-8-slo-monitoring.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-9-synthetic-monitoring.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
